variant,algo,train_seed,eval_mode,episode,seed,return_total,steps,terminated,truncated,termination_reason,animal_status,is_success,animal_lost,battery_depleted,final_battery,battery_spent,barriers_installed,effective_barriers_installed,pickup_step,delivery_step
tuned,a2c,42,deterministic,32,50032,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,33,50033,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,34,50034,-29.0,49,True,False,success,saved,True,False,False,85,15,0,0,5,49
tuned,a2c,42,deterministic,35,50035,-60.0,80,True,False,success,saved,True,False,False,85,15,0,0,5,80
tuned,a2c,42,deterministic,36,50036,-2.0,22,True,False,success,saved,True,False,False,85,15,0,0,5,22
tuned,a2c,42,deterministic,37,50037,-4.0,24,True,False,success,saved,True,False,False,85,15,0,0,5,24
tuned,a2c,42,deterministic,38,50038,-10.0,30,True,False,success,saved,True,False,False,85,15,0,0,5,30
tuned,a2c,42,deterministic,39,50039,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,deterministic,40,50040,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,deterministic,41,50041,-42.0,62,True,False,success,saved,True,False,False,83,17,0,0,5,62
tuned,a2c,42,deterministic,42,50042,-49.0,69,True,False,success,saved,True,False,False,85,15,0,0,5,69
tuned,a2c,42,deterministic,43,50043,-18.0,38,True,False,success,saved,True,False,False,85,15,0,0,5,38
tuned,a2c,42,deterministic,44,50044,-29.0,49,True,False,success,saved,True,False,False,85,15,0,0,5,49
tuned,a2c,42,deterministic,45,50045,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,deterministic,46,50046,-15.0,35,True,False,success,saved,True,False,False,85,15,0,0,5,35
tuned,a2c,42,deterministic,47,50047,-13.0,33,True,False,success,saved,True,False,False,85,15,0,0,5,33
tuned,a2c,42,deterministic,48,50048,-16.0,36,True,False,success,saved,True,False,False,85,15,0,0,5,36
tuned,a2c,42,deterministic,49,50049,-58.0,78,True,False,success,saved,True,False,False,85,15,0,0,5,78
tuned,a2c,42,deterministic,50,50050,-42.0,62,True,False,success,saved,True,False,False,85,15,0,0,5,62
tuned,a2c,42,deterministic,51,50051,-48.0,68,True,False,success,saved,True,False,False,85,15,0,0,5,68
tuned,a2c,42,deterministic,52,50052,-29.0,49,True,False,success,saved,True,False,False,83,17,0,0,5,49
tuned,a2c,42,deterministic,53,50053,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,54,50054,-48.0,68,True,False,success,saved,True,False,False,85,15,0,0,5,68
tuned,a2c,42,deterministic,55,50055,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,56,50056,-59.0,79,True,False,success,saved,True,False,False,85,15,0,0,5,79
tuned,a2c,42,deterministic,57,50057,-22.0,42,True,False,success,saved,True,False,False,83,17,0,0,5,42
tuned,a2c,42,deterministic,58,50058,-49.0,69,True,False,success,saved,True,False,False,83,17,0,0,5,69
tuned,a2c,42,deterministic,59,50059,-54.0,74,True,False,success,saved,True,False,False,85,15,0,0,5,74
tuned,a2c,42,deterministic,60,50060,-10.0,30,True,False,success,saved,True,False,False,85,15,0,0,5,30
tuned,a2c,42,deterministic,61,50061,-52.0,72,True,False,success,saved,True,False,False,85,15,0,0,5,72
tuned,a2c,42,deterministic,62,50062,-36.0,56,True,False,success,saved,True,False,False,85,15,0,0,5,56
tuned,a2c,42,deterministic,63,50063,-23.0,43,True,False,success,saved,True,False,False,85,15,0,0,5,43
tuned,a2c,42,deterministic,64,50064,-22.0,42,True,False,success,saved,True,False,False,85,15,0,0,5,42
tuned,a2c,42,deterministic,65,50065,-48.0,68,True,False,success,saved,True,False,False,85,15,0,0,5,68
tuned,a2c,42,deterministic,66,50066,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,deterministic,67,50067,-44.0,64,True,False,success,saved,True,False,False,85,15,0,0,5,64
tuned,a2c,42,deterministic,68,50068,-33.0,53,True,False,success,saved,True,False,False,85,15,0,0,5,53
tuned,a2c,42,deterministic,69,50069,-19.0,39,True,False,success,saved,True,False,False,85,15,0,0,5,39
tuned,a2c,42,deterministic,70,50070,-6.0,26,True,False,success,saved,True,False,False,85,15,0,0,5,26
tuned,a2c,42,deterministic,71,50071,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,72,50072,-25.0,45,True,False,success,saved,True,False,False,85,15,0,0,5,45
tuned,a2c,42,deterministic,73,50073,-36.0,56,True,False,success,saved,True,False,False,85,15,0,0,5,56
tuned,a2c,42,deterministic,74,50074,-25.0,45,True,False,success,saved,True,False,False,85,15,0,0,5,45
tuned,a2c,42,deterministic,75,50075,-25.0,45,True,False,success,saved,True,False,False,85,15,0,0,5,45
tuned,a2c,42,deterministic,76,50076,-23.0,43,True,False,success,saved,True,False,False,85,15,0,0,5,43
tuned,a2c,42,deterministic,77,50077,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,78,50078,-23.0,43,True,False,success,saved,True,False,False,85,15,0,0,5,43
tuned,a2c,42,deterministic,79,50079,-35.0,55,True,False,success,saved,True,False,False,85,15,0,0,5,55
tuned,a2c,42,deterministic,80,50080,-5.0,25,True,False,success,saved,True,False,False,85,15,0,0,5,25
tuned,a2c,42,deterministic,81,50081,-47.0,67,True,False,success,saved,True,False,False,85,15,0,0,5,67
tuned,a2c,42,deterministic,82,50082,-31.0,51,True,False,success,saved,True,False,False,85,15,0,0,5,51
tuned,a2c,42,deterministic,83,50083,-47.0,67,True,False,success,saved,True,False,False,85,15,0,0,5,67
tuned,a2c,42,deterministic,84,50084,-40.0,60,True,False,success,saved,True,False,False,85,15,0,0,5,60
tuned,a2c,42,deterministic,85,50085,-25.0,45,True,False,success,saved,True,False,False,83,17,0,0,5,45
tuned,a2c,42,deterministic,86,50086,-17.0,37,True,False,success,saved,True,False,False,85,15,0,0,5,37
tuned,a2c,42,deterministic,87,50087,-49.0,69,True,False,success,saved,True,False,False,85,15,0,0,5,69
tuned,a2c,42,deterministic,88,50088,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,deterministic,89,50089,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,90,50090,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,91,50091,-45.0,65,True,False,success,saved,True,False,False,85,15,0,0,5,65
tuned,a2c,42,deterministic,92,50092,-13.0,33,True,False,success,saved,True,False,False,85,15,0,0,5,33
tuned,a2c,42,deterministic,93,50093,-33.0,53,True,False,success,saved,True,False,False,83,17,0,0,5,53
tuned,a2c,42,deterministic,94,50094,-39.0,59,True,False,success,saved,True,False,False,85,15,0,0,5,59
tuned,a2c,42,deterministic,95,50095,-8.0,28,True,False,success,saved,True,False,False,85,15,0,0,5,28
tuned,a2c,42,deterministic,96,50096,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,deterministic,97,50097,-28.0,48,True,False,success,saved,True,False,False,85,15,0,0,5,48
tuned,a2c,42,deterministic,98,50098,-18.0,38,True,False,success,saved,True,False,False,85,15,0,0,5,38
tuned,a2c,42,deterministic,99,50099,-28.0,48,True,False,success,saved,True,False,False,85,15,0,0,5,48
tuned,a2c,42,stochastic,0,50000,-38.0,58,True,False,success,saved,True,False,False,85,15,0,0,5,58
tuned,a2c,42,stochastic,1,50001,-8.0,28,True,False,success,saved,True,False,False,85,15,0,0,5,28
tuned,a2c,42,stochastic,2,50002,-41.0,61,True,False,success,saved,True,False,False,85,15,0,0,5,61
tuned,a2c,42,stochastic,3,50003,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,stochastic,4,50004,-72.0,92,True,False,success,saved,True,False,False,85,15,0,0,5,92
tuned,a2c,42,stochastic,5,50005,-29.0,49,True,False,success,saved,True,False,False,85,15,0,0,5,49
tuned,a2c,42,stochastic,6,50006,-5.0,25,True,False,success,saved,True,False,False,85,15,0,0,5,25
tuned,a2c,42,stochastic,7,50007,-3.0,23,True,False,success,saved,True,False,False,85,15,0,0,5,23
tuned,a2c,42,stochastic,8,50008,-18.0,38,True,False,success,saved,True,False,False,85,15,0,0,5,38
tuned,a2c,42,stochastic,9,50009,-6.0,26,True,False,success,saved,True,False,False,85,15,0,0,5,26
tuned,a2c,42,stochastic,10,50010,-49.0,69,True,False,success,saved,True,False,False,85,15,0,0,5,69
tuned,a2c,42,stochastic,11,50011,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,stochastic,12,50012,-5.0,25,True,False,success,saved,True,False,False,85,15,0,0,5,25
tuned,a2c,42,stochastic,13,50013,-39.0,59,True,False,success,saved,True,False,False,85,15,0,0,5,59
tuned,a2c,42,stochastic,14,50014,-40.0,60,True,False,success,saved,True,False,False,85,15,0,0,5,60
tuned,a2c,42,stochastic,15,50015,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,42,stochastic,16,50016,-31.0,51,True,False,success,saved,True,False,False,85,15,0,0,5,51
tuned,a2c,42,stochastic,17,50017,-24.0,44,True,False,success,saved,True,False,False,85,15,0,0,5,44
tuned,a2c,42,stochastic,18,50018,-60.0,80,True,False,success,saved,True,False,False,85,15,0,0,5,80
tuned,a2c,42,stochastic,19,50019,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,stochastic,20,50020,-41.0,61,True,False,success,saved,True,False,False,85,15,0,0,5,61
tuned,a2c,42,stochastic,21,50021,-20.0,40,True,False,success,saved,True,False,False,85,15,0,0,5,40
tuned,a2c,42,stochastic,22,50022,-41.0,61,True,False,success,saved,True,False,False,85,15,0,0,5,61
tuned,a2c,42,stochastic,23,50023,-23.0,43,True,False,success,saved,True,False,False,85,15,0,0,5,43
tuned,a2c,42,stochastic,24,50024,-13.0,33,True,False,success,saved,True,False,False,85,15,0,0,5,33
tuned,a2c,42,stochastic,25,50025,-21.0,41,True,False,success,saved,True,False,False,85,15,0,0,5,41
tuned,a2c,42,stochastic,26,50026,-71.0,91,True,False,success,saved,True,False,False,85,15,0,0,5,91
tuned,a2c,42,stochastic,27,50027,-8.0,28,True,False,success,saved,True,False,False,85,15,0,0,5,28
tuned,a2c,42,stochastic,28,50028,-26.0,46,True,False,success,saved,True,False,False,85,15,0,0,5,46
tuned,a2c,42,stochastic,29,50029,-67.0,87,True,False,success,saved,True,False,False,83,17,0,0,5,87
tuned,a2c,42,stochastic,30,50030,-34.0,54,True,False,success,saved,True,False,False,85,15,0,0,5,54
tuned,a2c,42,stochastic,31,50031,-58.0,78,True,False,success,saved,True,False,False,85,15,0,0,5,78
tuned,a2c,42,stochastic,32,50032,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,stochastic,33,50033,-54.0,74,True,False,success,saved,True,False,False,83,17,0,0,5,74
tuned,a2c,42,stochastic,34,50034,-29.0,49,True,False,success,saved,True,False,False,85,15,0,0,5,49
tuned,a2c,42,stochastic,35,50035,-60.0,80,True,False,success,saved,True,False,False,85,15,0,0,5,80
tuned,a2c,42,stochastic,36,50036,-2.0,22,True,False,success,saved,True,False,False,85,15,0,0,5,22
tuned,a2c,42,stochastic,37,50037,-4.0,24,True,False,success,saved,True,False,False,85,15,0,0,5,24
tuned,a2c,42,stochastic,38,50038,-10.0,30,True,False,success,saved,True,False,False,85,15,0,0,5,30
tuned,a2c,42,stochastic,39,50039,-33.0,53,True,False,success,saved,True,False,False,85,15,0,0,5,53
tuned,a2c,42,stochastic,40,50040,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,stochastic,41,50041,-42.0,62,True,False,success,saved,True,False,False,83,17,0,0,5,62
tuned,a2c,42,stochastic,42,50042,-50.0,70,True,False,success,saved,True,False,False,85,15,0,0,5,70
tuned,a2c,42,stochastic,43,50043,-18.0,38,True,False,success,saved,True,False,False,85,15,0,0,5,38
tuned,a2c,42,stochastic,44,50044,-29.0,49,True,False,success,saved,True,False,False,85,15,0,0,5,49
tuned,a2c,42,stochastic,45,50045,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,stochastic,46,50046,-15.0,35,True,False,success,saved,True,False,False,85,15,0,0,5,35
tuned,a2c,42,stochastic,47,50047,-13.0,33,True,False,success,saved,True,False,False,85,15,0,0,5,33
tuned,a2c,42,stochastic,48,50048,-16.0,36,True,False,success,saved,True,False,False,85,15,0,0,5,36
tuned,a2c,42,stochastic,49,50049,-54.0,74,True,False,success,saved,True,False,False,85,15,0,0,5,74
tuned,a2c,42,stochastic,50,50050,-42.0,62,True,False,success,saved,True,False,False,85,15,0,0,5,62
tuned,a2c,42,stochastic,51,50051,-48.0,68,True,False,success,saved,True,False,False,85,15,0,0,5,68
tuned,a2c,42,stochastic,52,50052,-29.0,49,True,False,success,saved,True,False,False,83,17,0,0,5,49
tuned,a2c,42,stochastic,53,50053,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,stochastic,54,50054,-48.0,68,True,False,success,saved,True,False,False,85,15,0,0,5,68
tuned,a2c,42,stochastic,55,50055,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,stochastic,56,50056,-59.0,79,True,False,success,saved,True,False,False,85,15,0,0,5,79
tuned,a2c,42,stochastic,57,50057,-22.0,42,True,False,success,saved,True,False,False,83,17,0,0,5,42
tuned,a2c,42,stochastic,58,50058,-49.0,69,True,False,success,saved,True,False,False,83,17,0,0,5,69
tuned,a2c,42,stochastic,59,50059,-54.0,74,True,False,success,saved,True,False,False,85,15,0,0,5,74
tuned,a2c,42,stochastic,60,50060,-10.0,30,True,False,success,saved,True,False,False,85,15,0,0,5,30
tuned,a2c,42,stochastic,61,50061,-52.0,72,True,False,success,saved,True,False,False,85,15,0,0,5,72
tuned,a2c,42,stochastic,62,50062,-36.0,56,True,False,success,saved,True,False,False,85,15,0,0,5,56
tuned,a2c,42,stochastic,63,50063,-23.0,43,True,False,success,saved,True,False,False,85,15,0,0,5,43
tuned,a2c,42,stochastic,64,50064,-22.0,42,True,False,success,saved,True,False,False,85,15,0,0,5,42
tuned,a2c,42,stochastic,65,50065,-48.0,68,True,False,success,saved,True,False,False,85,15,0,0,5,68
tuned,a2c,42,stochastic,66,50066,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,stochastic,67,50067,-44.0,64,True,False,success,saved,True,False,False,85,15,0,0,5,64
tuned,a2c,42,stochastic,68,50068,-33.0,53,True,False,success,saved,True,False,False,85,15,0,0,5,53
tuned,a2c,42,stochastic,69,50069,-19.0,39,True,False,success,saved,True,False,False,85,15,0,0,5,39
tuned,a2c,42,stochastic,70,50070,-6.0,26,True,False,success,saved,True,False,False,85,15,0,0,5,26
tuned,a2c,42,stochastic,71,50071,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,stochastic,72,50072,-25.0,45,True,False,success,saved,True,False,False,85,15,0,0,5,45
tuned,a2c,42,stochastic,73,50073,-36.0,56,True,False,success,saved,True,False,False,85,15,0,0,5,56
tuned,a2c,42,stochastic,74,50074,-22.0,42,True,False,success,saved,True,False,False,85,15,0,0,5,42
tuned,a2c,42,stochastic,75,50075,-24.0,44,True,False,success,saved,True,False,False,85,15,0,0,5,44
tuned,a2c,42,stochastic,76,50076,-23.0,43,True,False,success,saved,True,False,False,85,15,0,0,5,43
tuned,a2c,42,stochastic,77,50077,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,stochastic,78,50078,-23.0,43,True,False,success,saved,True,False,False,85,15,0,0,5,43
tuned,a2c,42,stochastic,79,50079,-33.0,53,True,False,success,saved,True,False,False,85,15,0,0,5,53
tuned,a2c,42,stochastic,80,50080,-5.0,25,True,False,success,saved,True,False,False,85,15,0,0,5,25
tuned,a2c,42,stochastic,81,50081,-46.0,66,True,False,success,saved,True,False,False,85,15,0,0,5,66
tuned,a2c,42,stochastic,82,50082,-31.0,51,True,False,success,saved,True,False,False,85,15,0,0,5,51
tuned,a2c,42,stochastic,83,50083,-47.0,67,True,False,success,saved,True,False,False,85,15,0,0,5,67
tuned,a2c,42,stochastic,84,50084,-41.0,61,True,False,success,saved,True,False,False,85,15,0,0,5,61
tuned,a2c,42,stochastic,85,50085,-25.0,45,True,False,success,saved,True,False,False,83,17,0,0,5,45
tuned,a2c,42,stochastic,86,50086,-17.0,37,True,False,success,saved,True,False,False,85,15,0,0,5,37
tuned,a2c,42,stochastic,87,50087,-49.0,69,True,False,success,saved,True,False,False,85,15,0,0,5,69
tuned,a2c,42,stochastic,88,50088,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,stochastic,89,50089,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,stochastic,90,50090,-56.0,76,True,False,success,saved,True,False,False,83,17,0,0,5,76
tuned,a2c,42,stochastic,91,50091,-45.0,65,True,False,success,saved,True,False,False,85,15,0,0,5,65
tuned,a2c,42,stochastic,92,50092,-13.0,33,True,False,success,saved,True,False,False,85,15,0,0,5,33
tuned,a2c,42,stochastic,93,50093,-33.0,53,True,False,success,saved,True,False,False,83,17,0,0,5,53
tuned,a2c,42,stochastic,94,50094,-39.0,59,True,False,success,saved,True,False,False,85,15,0,0,5,59
tuned,a2c,42,stochastic,95,50095,-8.0,28,True,False,success,saved,True,False,False,85,15,0,0,5,28
tuned,a2c,42,stochastic,96,50096,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,stochastic,97,50097,-28.0,48,True,False,success,saved,True,False,False,85,15,0,0,5,48
tuned,a2c,42,stochastic,98,50098,-18.0,38,True,False,success,saved,True,False,False,85,15,0,0,5,38
tuned,a2c,42,stochastic,99,50099,-28.0,48,True,False,success,saved,True,False,False,85,15,0,0,5,48
tuned,a2c,123,deterministic,0,50000,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,1,50001,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,2,50002,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,3,50003,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,4,50004,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,5,50005,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,6,50006,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,7,50007,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,8,50008,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,9,50009,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,10,50010,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,11,50011,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,12,50012,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,13,50013,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,14,50014,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,15,50015,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,123,deterministic,16,50016,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,17,50017,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,18,50018,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,19,50019,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,20,50020,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,21,50021,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,22,50022,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,23,50023,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,24,50024,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,25,50025,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,26,50026,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,27,50027,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,28,50028,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,29,50029,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,30,50030,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,31,50031,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,32,50032,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,33,50033,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,34,50034,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,35,50035,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,36,50036,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,37,50037,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,38,50038,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,39,50039,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,40,50040,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,41,50041,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,42,50042,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,43,50043,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,44,50044,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,45,50045,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,46,50046,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,47,50047,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,48,50048,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,49,50049,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,50,50050,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,51,50051,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,52,50052,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,123,deterministic,53,50053,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
